項次,出入口名稱,出入口編號,經度,緯度
373,秀朗橋站出口1,1,121.52574,24.990418
374,秀朗橋站出口2,2,121.5250505,24.9905493
375,景平站出口,0,121.5165532,24.9919681
376,中和站出口,0,121.4960519,25.0019806
377,橋和站出口,0,121.4904608,25.0044131
378,中原站出口,0,121.4841593,25.0084104
379,板新站出口,0,121.4722124,25.0144914
380,板橋站出口4,4,121.464938,25.015105
381,板橋站出口5,5,121.464312,25.015502
382,新埔民生站出口,0,121.466839,25.026125
383,幸福站出口1,1,121.460146,25.050126
384,幸福站出口2,2,121.460593,25.049545
385,新北產業園區站出口,0,121.4599257,25.0615483
